site_id,datum,utm_espg,x,y,leaflet_espg,lon,lat
B03,Arc1960/UTM36S,21036,695075,9731632,4326,34.75512296,-2.429587881
B04,Arc1960/UTM36S,21036,695238,9729497,4326,34.75661344,-2.448892531
B05,Arc1960/UTM36S,21036,694892,9727162,4326,34.75353022,-2.470011793
B06,Arc1960/UTM36S,21036,694963,9724748,4326,34.75419731,-2.491840491
B07,Arc1960/UTM36S,21036,695026,9722578,4326,34.75478981,-2.511462798
B08,Arc1960/UTM36S,21036,694921,9720450,4326,34.75387149,-2.530707338
C02,Arc1960/UTM36S,21036,697372,9733742,4326,34.77574932,-2.410480469
C03,Arc1960/UTM36S,21036,697344,9731655,4326,34.77552213,-2.429353117
C04,Arc1960/UTM36S,21036,697247,9729343,4326,34.77467744,-2.450261218
C05,Arc1960/UTM36S,21036,697171,9726974,4326,34.77402245,-2.471684518
C06,Arc1960/UTM36S,21036,697336,9725161,4326,34.77552777,-2.488077102
C07,Arc1960/UTM36S,21036,697230,9722727,4326,34.77460427,-2.510088542
C08,Arc1960/UTM36S,21036,697574,9720330,4326,34.77772656,-2.531759846
C09,Arc1960/UTM36S,21036,697270,9718230,4326,34.77501918,-2.550753451
C10,Arc1960/UTM36S,21036,697349,9715985,4326,34.77575742,-2.571053498
C11,Arc1960/UTM36S,21036,697264,9713665,4326,34.77502224,-2.592033806
C12,Arc1960/UTM36S,21036,697302,9711291,4326,34.77539394,-2.613500864
C13,Arc1960/UTM36S,21036,697193,9709244,4326,34.77443991,-2.632012812
D02,Arc1960/UTM36S,21036,699396,9733829,4326,34.79394462,-2.409669791
D03,Arc1960/UTM36S,21036,699427,9731593,4326,34.79424987,-2.42988891
D04,Arc1960/UTM36S,21036,699543,9729343,4326,34.79531972,-2.450233584
D05,Arc1960/UTM36S,21036,699577,9726907,4326,34.79565485,-2.472261169
D06,Arc1960/UTM36S,21036,699250,9724612,4326,34.79274286,-2.493018164
D07,Arc1960/UTM36S,21036,699479,9722596,4326,34.79482652,-2.511245409
D08,Arc1960/UTM36S,21036,699492,9720169,4326,34.79497347,-2.533191847
D09,Arc1960/UTM36S,21036,699532,9718268,4326,34.79535684,-2.550381484
D10,Arc1960/UTM36S,21036,699199,9716027,4326,34.79239092,-2.570650353
D11,Arc1960/UTM36S,21036,699280,9713661,4326,34.79314919,-2.592044322
D12,Arc1960/UTM36S,21036,699570,9711452,4326,34.79578496,-2.612015869
D13,Arc1960/UTM36S,21036,699352,9709030,4326,34.79385597,-2.633920044
E01,Arc1960/UTM36S,21036,701742,9735940,4326,34.81501041,-2.390552785
E02,Arc1960/UTM36S,21036,701683,9733771,4326,34.81450585,-2.410166901
E03,Arc1960/UTM36S,21036,701778,9731512,4326,34.81538706,-2.430592988
E04,Arc1960/UTM36S,21036,701709,9729245,4326,34.81479421,-2.451093397
E05,Arc1960/UTM36S,21036,701611,9727281,4326,34.81393713,-2.468854263
