wet.dry,pd.day,pop.unit,site.id,var.measure,var.measure.unit,var.val
Wet,Day,Barafu,B03,Predator occupancy (lions/km2),Density,17
Dry,Day,Barafu,B03,Predator occupancy (lions/km2),Density,12
Wet,Day,Barafu,B04,Predator occupancy (lions/km2),Density,33
Dry,Day,Barafu,B04,Predator occupancy (lions/km2),Density,49
Wet,Night,Barafu,B03,Predator occupancy (lions/km2),Density,20
Dry,Night,Barafu,B03,Predator occupancy (lions/km2),Density,15
Wet,Night,Barafu,C05,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,C05,Predator occupancy (lions/km2),Density,24
Wet,Day,Barafu,C06,Predator occupancy (lions/km2),Density,40
Dry,Day,Barafu,C06,Predator occupancy (lions/km2),Density,34
Wet,Night,Barafu,C06,Predator occupancy (lions/km2),Density,22
Dry,Night,Barafu,C06,Predator occupancy (lions/km2),Density,32
Wet,Day,Barafu,C07,Predator occupancy (lions/km2),Density,32
Dry,Day,Barafu,C07,Predator occupancy (lions/km2),Density,13
Wet,Night,Barafu,B04,Predator occupancy (lions/km2),Density,7
Dry,Night,Barafu,B04,Predator occupancy (lions/km2),Density,27
Wet,Day,Barafu,B05,Predator occupancy (lions/km2),Density,43
Dry,Day,Barafu,B05,Predator occupancy (lions/km2),Density,35
Wet,Night,Barafu,B05,Predator occupancy (lions/km2),Density,42
Dry,Night,Barafu,B05,Predator occupancy (lions/km2),Density,34
Wet,Day,Barafu,B06,Predator occupancy (lions/km2),Density,7
Dry,Day,Barafu,B06,Predator occupancy (lions/km2),Density,19
Wet,Night,Barafu,B06,Predator occupancy (lions/km2),Density,16
Dry,Night,Barafu,B06,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,B07,Predator occupancy (lions/km2),Density,14
Dry,Day,Barafu,B07,Predator occupancy (lions/km2),Density,39
Wet,Night,Barafu,B07,Predator occupancy (lions/km2),Density,52
Dry,Night,Barafu,B07,Predator occupancy (lions/km2),Density,10
Wet,Day,Barafu,B08,Predator occupancy (lions/km2),Density,14
Dry,Day,Barafu,B08,Predator occupancy (lions/km2),Density,47
Wet,Night,Barafu,B08,Predator occupancy (lions/km2),Density,21
Dry,Night,Barafu,B08,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,C02,Predator occupancy (lions/km2),Density,21
Dry,Day,Barafu,C02,Predator occupancy (lions/km2),Density,32
Wet,Night,Barafu,C02,Predator occupancy (lions/km2),Density,22
Dry,Night,Barafu,C02,Predator occupancy (lions/km2),Density,38
Wet,Day,Barafu,C03,Predator occupancy (lions/km2),Density,11
Dry,Day,Barafu,C03,Predator occupancy (lions/km2),Density,1
Wet,Night,Barafu,C03,Predator occupancy (lions/km2),Density,20
Dry,Night,Barafu,C03,Predator occupancy (lions/km2),Density,42
Wet,Day,Barafu,C04,Predator occupancy (lions/km2),Density,52
Dry,Day,Barafu,C04,Predator occupancy (lions/km2),Density,47
Wet,Night,Barafu,C04,Predator occupancy (lions/km2),Density,9
Dry,Night,Barafu,C04,Predator occupancy (lions/km2),Density,36
Wet,Day,Barafu,C05,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,C05,Predator occupancy (lions/km2),Density,5
Wet,Night,Barafu,D03,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,D03,Predator occupancy (lions/km2),Density,10
Wet,Day,Barafu,D04,Predator occupancy (lions/km2),Density,17
Dry,Day,Barafu,D04,Predator occupancy (lions/km2),Density,42
Wet,Night,Barafu,D04,Predator occupancy (lions/km2),Density,18
Dry,Night,Barafu,D04,Predator occupancy (lions/km2),Density,17
Wet,Day,Barafu,D05,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,D05,Predator occupancy (lions/km2),Density,46
Wet,Night,Barafu,C07,Predator occupancy (lions/km2),Density,33
Dry,Night,Barafu,C07,Predator occupancy (lions/km2),Density,30
Wet,Day,Barafu,C08,Predator occupancy (lions/km2),Density,57
Dry,Day,Barafu,C08,Predator occupancy (lions/km2),Density,27
Wet,Night,Barafu,C08,Predator occupancy (lions/km2),Density,11
Dry,Night,Barafu,C08,Predator occupancy (lions/km2),Density,29
Wet,Day,Barafu,C09,Predator occupancy (lions/km2),Density,33
Dry,Day,Barafu,C09,Predator occupancy (lions/km2),Density,36
Wet,Night,Barafu,C09,Predator occupancy (lions/km2),Density,21
Dry,Night,Barafu,C09,Predator occupancy (lions/km2),Density,10
Wet,Day,Barafu,C10,Predator occupancy (lions/km2),Density,45
Dry,Day,Barafu,C10,Predator occupancy (lions/km2),Density,9
Wet,Night,Barafu,C10,Predator occupancy (lions/km2),Density,25
Dry,Night,Barafu,C10,Predator occupancy (lions/km2),Density,2
Wet,Day,Barafu,C11,Predator occupancy (lions/km2),Density,5
Dry,Day,Barafu,C11,Predator occupancy (lions/km2),Density,34
Wet,Night,Barafu,C11,Predator occupancy (lions/km2),Density,26
Dry,Night,Barafu,C11,Predator occupancy (lions/km2),Density,5
Wet,Day,Barafu,C12,Predator occupancy (lions/km2),Density,38
Dry,Day,Barafu,C12,Predator occupancy (lions/km2),Density,19
Wet,Night,Barafu,C12,Predator occupancy (lions/km2),Density,9
Dry,Night,Barafu,C12,Predator occupancy (lions/km2),Density,7
Wet,Day,Barafu,C13,Predator occupancy (lions/km2),Density,5
Dry,Day,Barafu,C13,Predator occupancy (lions/km2),Density,44
Wet,Night,Barafu,C13,Predator occupancy (lions/km2),Density,45
Dry,Night,Barafu,C13,Predator occupancy (lions/km2),Density,22
Wet,Day,Barafu,D02,Predator occupancy (lions/km2),Density,31
Dry,Day,Barafu,D02,Predator occupancy (lions/km2),Density,25
Wet,Night,Barafu,D02,Predator occupancy (lions/km2),Density,47
Dry,Night,Barafu,D02,Predator occupancy (lions/km2),Density,26
Wet,Day,Barafu,D03,Predator occupancy (lions/km2),Density,22
Dry,Day,Barafu,D03,Predator occupancy (lions/km2),Density,47
Wet,Night,Barafu,D13,Predator occupancy (lions/km2),Density,3
Dry,Night,Barafu,D13,Predator occupancy (lions/km2),Density,25
Wet,Day,Barafu,E01,Predator occupancy (lions/km2),Density,20
Dry,Day,Barafu,E01,Predator occupancy (lions/km2),Density,5
Wet,Night,Barafu,E01,Predator occupancy (lions/km2),Density,21
Dry,Night,Barafu,E01,Predator occupancy (lions/km2),Density,23
Wet,Day,Barafu,E02,Predator occupancy (lions/km2),Density,7
Dry,Day,Barafu,E02,Predator occupancy (lions/km2),Density,22
Wet,Night,Barafu,E02,Predator occupancy (lions/km2),Density,43
Dry,Night,Barafu,E02,Predator occupancy (lions/km2),Density,17
Wet,Day,Barafu,E03,Predator occupancy (lions/km2),Density,31
Dry,Day,Barafu,E03,Predator occupancy (lions/km2),Density,44
Wet,Night,Barafu,E03,Predator occupancy (lions/km2),Density,14
Dry,Night,Barafu,E03,Predator occupancy (lions/km2),Density,39
