site.id,risk.type,species,season,index.value
B03,Habitat,etc,Wet,0.506639803
B04,Habitat,etc,Wet,0.366418399
B05,Habitat,etc,Wet,0.489035562
B06,Habitat,etc,Wet,0.58531439
B07,Habitat,etc,Wet,0.679570538
B08,Habitat,etc,Wet,0.553566618
C02,Habitat,etc,Wet,1.441825667
C03,Habitat,etc,Wet,1.053509584
C04,Habitat,etc,Wet,0.744583664
C05,Habitat,etc,Wet,0.773181828
C06,Habitat,etc,Wet,1.379104446
C07,Habitat,etc,Wet,1.30704987
C08,Habitat,etc,Wet,0.853082674
C09,Habitat,etc,Wet,0.478436348
C10,Habitat,etc,Wet,0.239903747
C11,Habitat,etc,Wet,0.164541782
C12,Habitat,etc,Wet,0.392594421
C13,Habitat,etc,Wet,0.859645405
D02,Habitat,etc,Wet,2.52926349
D03,Habitat,etc,Wet,1.664885861
D04,Habitat,etc,Wet,2.173116343
D05,Habitat,etc,Wet,1.519828045
D06,Habitat,etc,Wet,2.706103096
D07,Habitat,etc,Wet,2.722267342
D08,Habitat,etc,Wet,0.819176415
D09,Habitat,etc,Wet,0.392610703
D10,Habitat,etc,Wet,0.200189752
D11,Habitat,etc,Wet,0.115179333
D12,Habitat,etc,Wet,0.222964065
D13,Habitat,etc,Wet,0.505241623
E01,Habitat,etc,Wet,2.264152295
E02,Habitat,etc,Wet,2.201453761
E03,Habitat,etc,Wet,1.947609868
E04,Habitat,etc,Wet,3.962557348
E05,Habitat,etc,Wet,2.54616659
E06,Habitat,etc,Wet,2.048953876
E07,Habitat,etc,Wet,1.823483385
E08,Habitat,etc,Wet,0.747368439
E09,Habitat,etc,Wet,0.278284737
E10,Habitat,etc,Wet,0.173131937
E11,Habitat,etc,Wet,0.11015826
E12,Habitat,etc,Wet,0.19291279
E13,Habitat,etc,Wet,0.407712785
F01,Habitat,etc,Wet,1.107764015
F02,Habitat,etc,Wet,1.230662518
F03,Habitat,etc,Wet,1.610443454
F04,Habitat,etc,Wet,2.086873907
F05,Habitat,etc,Wet,1.922321475
F06,Habitat,etc,Wet,1.309081165
F07,Habitat,etc,Wet,0.857452106
F08,Habitat,etc,Wet,0.528985645
F09,Habitat,etc,Wet,0.252390298
F10,Habitat,etc,Wet,0.154401105
F11,Habitat,etc,Wet,0.157403784
F12,Habitat,etc,Wet,0.334955924
F13,Habitat,etc,Wet,0.444232014
G01,Habitat,etc,Wet,1.58706798
G02,Habitat,etc,Wet,1.853840305
G03,Habitat,etc,Wet,3.632434587
G04,Habitat,etc,Wet,2.534927579
G05,Habitat,etc,Wet,2.387682527
G06,Habitat,etc,Wet,1.381888269
G07,Habitat,etc,Wet,1.9473407
G08,Habitat,etc,Wet,1.173326947
G09,Habitat,etc,Wet,0.548457528
G11,Habitat,etc,Wet,0.223135359
G12,Habitat,etc,Wet,0.343121844
G13,Habitat,etc,Wet,0.993797107
H01,Habitat,etc,Wet,3.511873643
H02,Habitat,etc,Wet,2.881877268
H03,Habitat,etc,Wet,2.883320926
H04,Habitat,etc,Wet,2.177126898
H05,Habitat,etc,Wet,1.68630424
H06,Habitat,etc,Wet,2.958862605
H07,Habitat,etc,Wet,4.260385202
H08,Habitat,etc,Wet,4.22050548
H09,Habitat,etc,Wet,1.468400527
H10,Habitat,etc,Wet,0.546348708
H11,Habitat,etc,Wet,0.295046929
H12,Habitat,etc,Wet,0.510055206
H13,Habitat,etc,Wet,1.674611487
I02,Habitat,etc,Wet,3.466879921
I03,Habitat,etc,Wet,1.621995415
I04,Habitat,etc,Wet,1.971514558
I05,Habitat,etc,Wet,3.325605611
I06,Habitat,etc,Wet,3.538025438
I07,Habitat,etc,Wet,3.767021553
I08,Habitat,etc,Wet,4.935106853
I09,Habitat,etc,Wet,2.331169214
I10,Habitat,etc,Wet,0.905963778
I11,Habitat,etc,Wet,0.291864956
I12,Habitat,etc,Wet,0.409650275
I13,Habitat,etc,Wet,1.337101091
J02,Habitat,etc,Wet,4.658901122
J03,Habitat,etc,Wet,2.369128574
J04,Habitat,etc,Wet,1.864278046
J05,Habitat,etc,Wet,2.357665931
J06,Habitat,etc,Wet,4.396412559
J07,Habitat,etc,Wet,2.487133381
J08,Habitat,etc,Wet,3.372383659
J09,Habitat,etc,Wet,2.9087869
J10,Habitat,etc,Wet,1.375039386
J11,Habitat,etc,Wet,0.35716144
J12,Habitat,etc,Wet,0.512801948
J13,Habitat,etc,Wet,1.369287888
K03,Habitat,etc,Wet,5.519942212
K04,Habitat,etc,Wet,2.844266059
K05,Habitat,etc,Wet,2.416771951
K06,Habitat,etc,Wet,3.29621455
K07,Habitat,etc,Wet,2.274031495
K08,Habitat,etc,Wet,3.073279894
K09,Habitat,etc,Wet,2.485004399
K10,Habitat,etc,Wet,1.564688663
K11,Habitat,etc,Wet,0.540360039
K12,Habitat,etc,Wet,0.396308968
K13,Habitat,etc,Wet,0.845661862
L03,Habitat,etc,Wet,3.696851326
L04,Habitat,etc,Wet,4.182682011
L05,Habitat,etc,Wet,1.887738808
L06,Habitat,etc,Wet,1.280923928
L07,Habitat,etc,Wet,1.035520539
L08,Habitat,etc,Wet,1.977138119
L09,Habitat,etc,Wet,1.102488663
L10,Habitat,etc,Wet,0.810391094
L11,Habitat,etc,Wet,0.460599312
L12,Habitat,etc,Wet,0.393947542
L13,Habitat,etc,Wet,0.626437353
M03,Habitat,etc,Wet,2.186787346
M04,Habitat,etc,Wet,4.630250562
M05,Habitat,etc,Wet,2.566658791
M06,Habitat,etc,Wet,1.199578754
M07,Habitat,etc,Wet,0.740060271
M08,Habitat,etc,Wet,0.887905116
M09,Habitat,etc,Wet,0.973936797
M10,Habitat,etc,Wet,0.711243688
M11,Habitat,etc,Wet,0.706852558
M12,Habitat,etc,Wet,0.480851975
M13,Habitat,etc,Wet,0.559109096
N03,Habitat,etc,Wet,1.630307334
N04,Habitat,etc,Wet,3.924774551
N05,Habitat,etc,Wet,3.286496944
N06,Habitat,etc,Wet,1.46181191
N07,Habitat,etc,Wet,1.337329742
N08,Habitat,etc,Wet,3.16320796
N09,Habitat,etc,Wet,2.200786127
N10,Habitat,etc,Wet,1.938114757
N11,Habitat,etc,Wet,1.295190331
N12,Habitat,etc,Wet,0.533698137
N13,Habitat,etc,Wet,0.315700996
O04,Habitat,etc,Wet,1.686927983
O05,Habitat,etc,Wet,1.53397365
O06,Habitat,etc,Wet,1.014833166
O07,Habitat,etc,Wet,1.150344417
O08,Habitat,etc,Wet,1.511396919
O09,Habitat,etc,Wet,2.299722634
O10,Habitat,etc,Wet,3.920579202
O11,Habitat,etc,Wet,1.872234242
O12,Habitat,etc,Wet,0.687362958
O13,Habitat,etc,Wet,0.221953101
P04,Habitat,etc,Wet,0.553608559
P05,Habitat,etc,Wet,0.568155264
P06,Habitat,etc,Wet,0.459247868
P06,Habitat,etc,Wet,0.459247868
P07,Habitat,etc,Wet,0.787102518
P08,Habitat,etc,Wet,0.944480506
P09,Habitat,etc,Wet,1.139793827
P10,Habitat,etc,Wet,1.328426506
P11,Habitat,etc,Wet,1.244458581
P12,Habitat,etc,Wet,0.501135759
P13,Habitat,etc,Wet,0.153811824
Q05,Habitat,etc,Wet,0.196791729
Q06,Habitat,etc,Wet,0.206882202
Q07,Habitat,etc,Wet,0.355455356
Q08,Habitat,etc,Wet,0.51263083
Q09,Habitat,etc,Wet,0.592525083
Q10,Habitat,etc,Wet,0.637388837
Q11,Habitat,etc,Wet,0.463658001
Q12,Habitat,etc,Wet,0.271506787
Q13,Habitat,etc,Wet,0.113185694
R05,Habitat,etc,Wet,0.110678891
R06,Habitat,etc,Wet,0.082690254
R07,Habitat,etc,Wet,0.214596666
R08,Habitat,etc,Wet,0.536603665
R09,Habitat,etc,Wet,1.213636708
R10,Habitat,etc,Wet,1.227712895
R11,Habitat,etc,Wet,0.858217131
R12,Habitat,etc,Wet,0.381354521
R13,Habitat,etc,Wet,0.145811187
S07,Habitat,etc,Wet,0.196336211
S08,Habitat,etc,Wet,0.620121751
S09,Habitat,etc,Wet,1.982497625
S10,Habitat,etc,Wet,3.110945182
S11,Habitat,etc,Wet,1.722439157
S12,Habitat,etc,Wet,0.555095132
S13,Habitat,etc,Wet,0.273489813
T08,Habitat,etc,Wet,0.532318629
T09,Habitat,etc,Wet,1.605954178
T10,Habitat,etc,Wet,2.892868352
T11,Habitat,etc,Wet,2.468550751
T12,Habitat,etc,Wet,0.931506607
T13,Habitat,etc,Wet,1.103849694
U09,Habitat,etc,Wet,0.906325221
U10,Habitat,etc,Wet,1.589167573
U11,Habitat,etc,Wet,2.334127173
U12,Habitat,etc,Wet,2.357667709
U13,Habitat,etc,Wet,2.274919895
V10,Habitat,etc,Wet,0.506639803
B03,Habitat,etc,Dry,0.749595286
B04,Habitat,etc,Dry,1.32444696
B05,Habitat,etc,Dry,1.676987027
B06,Habitat,etc,Dry,0.415455572
B07,Habitat,etc,Dry,0.397987729
B08,Habitat,etc,Dry,0.428776823
C02,Habitat,etc,Dry,1.322602484
C03,Habitat,etc,Dry,3.300765414
C04,Habitat,etc,Dry,1.124266883
C05,Habitat,etc,Dry,0.57000232
C06,Habitat,etc,Dry,0.442065018
C07,Habitat,etc,Dry,0.234079315
C08,Habitat,etc,Dry,0.164394406
C09,Habitat,etc,Dry,0.296832137
C10,Habitat,etc,Dry,0.094666973
C11,Habitat,etc,Dry,0.06841159
C12,Habitat,etc,Dry,0.925012293
C13,Habitat,etc,Dry,8.064705935
D02,Habitat,etc,Dry,7.844423443
D03,Habitat,etc,Dry,6.350181174
D04,Habitat,etc,Dry,11.27976027
D05,Habitat,etc,Dry,4.326683095
D06,Habitat,etc,Dry,3.287332845
D07,Habitat,etc,Dry,1.245161463
D08,Habitat,etc,Dry,0.101060468
D09,Habitat,etc,Dry,0.052145328
D10,Habitat,etc,Dry,0.023287288
D11,Habitat,etc,Dry,0.057742086
D12,Habitat,etc,Dry,0.502484812
D13,Habitat,etc,Dry,2.545023437
E01,Habitat,etc,Dry,11.44821816
E02,Habitat,etc,Dry,23.33048386
E03,Habitat,etc,Dry,7.330376812
E04,Habitat,etc,Dry,6.322938126
E05,Habitat,etc,Dry,8.035463899
E06,Habitat,etc,Dry,9.448380058
E07,Habitat,etc,Dry,1.454241418
E08,Habitat,etc,Dry,0.224792029
E09,Habitat,etc,Dry,0.019620847
E10,Habitat,etc,Dry,0.037889164
E11,Habitat,etc,Dry,0.122484588
E12,Habitat,etc,Dry,0.885833573
E13,Habitat,etc,Dry,1.790941248
F01,Habitat,etc,Dry,9.855220459
F02,Habitat,etc,Dry,3.165028404
F03,Habitat,etc,Dry,1.526402484
F04,Habitat,etc,Dry,1.480472364
F05,Habitat,etc,Dry,3.584701378
F06,Habitat,etc,Dry,8.369530356
F07,Habitat,etc,Dry,0.875565003
F08,Habitat,etc,Dry,0.330613177
F09,Habitat,etc,Dry,0.066609858
F10,Habitat,etc,Dry,0.038584914
F11,Habitat,etc,Dry,0.222922343
F12,Habitat,etc,Dry,2.761419752
F13,Habitat,etc,Dry,0.934122633
G01,Habitat,etc,Dry,4.471633082
G02,Habitat,etc,Dry,22.32778337
G03,Habitat,etc,Dry,5.874243544
G04,Habitat,etc,Dry,1.931608269
G05,Habitat,etc,Dry,5.764168084
G06,Habitat,etc,Dry,6.967758187
G07,Habitat,etc,Dry,7.951539682
G08,Habitat,etc,Dry,1.422148286
G09,Habitat,etc,Dry,0.22585687
G11,Habitat,etc,Dry,0.328493253
G12,Habitat,etc,Dry,1.435198779
G13,Habitat,etc,Dry,3.72663302
H01,Habitat,etc,Dry,3.661292405
H02,Habitat,etc,Dry,6.690288736
H03,Habitat,etc,Dry,21.0643831
H04,Habitat,etc,Dry,5.644346993
H05,Habitat,etc,Dry,4.286084618
H06,Habitat,etc,Dry,5.657977898
H07,Habitat,etc,Dry,8.739909521
H08,Habitat,etc,Dry,14.61961025
H09,Habitat,etc,Dry,1.80836519
H10,Habitat,etc,Dry,0.155054661
H11,Habitat,etc,Dry,0.169653944
H12,Habitat,etc,Dry,0.867442749
